id,text,swipe,district
7d7053bec0829151665e5976,mainluststraße 13,f,bahnhofsviertel
7d7053bec0829151665e5976,kleine rittergasse 26,t,sachsenhausen-n
7d7053bec0829151665e5976,alemannenweg 83,f,unterliederbach
7d7053bec0829151665e5976,hospitalstraße 44,f,höchst
7d7053bec0829151665e5976,bürgeler straße 4,t,fechenheim
7d7053bec0829151665e5976,am salusbach 5,f,sossenheim
7d7053bec0829151665e5976,im klausenstück 43,f,kalbach-riedberg
7d7053bec0829151665e5976,friedrich-list-straße 12,f,riederwald
7d7053bec0829151665e5976,im burgfeld 105,f,heddernheim
7d7053bec0829151665e5976,vogesenstraße 35,f,schwanheim
7d7053bec0829151665e5976,röhrborngasse 4,f,bergen-enkheim
7d7053bec0829151665e5976,lessingstraße 12,f,westend-süd
7d7053bec0829151665e5976,saalgasse 21,f,altstadt
7d7053bec0829151665e5976,gerauer straße 70,t,niederrad
7d7053bec0829151665e5976,unter den birken 17,f,sachsenhausen-n
7d7053bec0829151665e5976,wehrstraße 10,f,oberrad
7d7053bec0829151665e5976,mühlbruchstraße 21,t,sachsenhausen-n
7d7053bec0829151665e5976,steinkleestraße 20,t,eckenheim
7d7053bec0829151665e5976,ziegenhainer straße 51,f,dornbusch
7d7053bec0829151665e5976,niederurseler landstraße 37,f,niederursel
7d7053bec0829151665e5976,geranienweg 12,t,frankfurter berg
7d7053bec0829151665e5976,an der herrenwiese 77,f,schwanheim
7d7053bec0829151665e5976,an der lühe 46,f,hausen
7d7053bec0829151665e5976,gallusanlage 6,f,bahnhofsviertel
7d7053bec0829151665e5976,starkenburger straße 52,t,fechenheim
7d7053bec0829151665e5976,nußgartenstraße 26,f,seckbach
7d7053bec0829151665e5976,am lohwald 34,f,hausen
7d7053bec0829151665e5976,eugen-blanck-straße 12,f,kalbach-riedberg
7d7053bec0829151665e5976,korffstraße 53,f,harheim
7d7053bec0829151665e5976,dürerstraße 2,f,sachsenhausen-n
7d7053bec0829151665e5976,ricky-adler-straße 35,t,kalbach-riedberg
7d7053bec0829151665e5976,tucholskystraße 56,f,sachsenhausen-s
7d7053bec0829151665e5976,alt-niedereschbach 36,f,nieder-eschbach
7d7053bec0829151665e5976,seebachstraße 29,f,unterliederbach
7d7053bec0829151665e5976,rebgärten 13,f,ginnheim
7d7053bec0829151665e5976,telemannstraße 9,f,westend-süd
7d7053bec0829151665e5976,wendelsweg 136,f,sachsenhausen-s
7d7053bec0829151665e5976,schulze-delitzsch-straße 16,t,riederwald
7d7053bec0829151665e5976,zentgrafenstraße 15,f,seckbach
7d7053bec0829151665e5976,harheimer weg 45,f,bonames
7d7053bec0829151665e5976,westenbergerstraße 30,f,sindlingen
7d7053bec0829151665e5976,speicherstraße 34,t,gutleutviertel
7d7053bec0829151665e5976,lerchesbergring 93,t,sachsenhausen-s
7d7053bec0829151665e5976,an der herrenwiese 167,f,schwanheim
7d7053bec0829151665e5976,tacitusstraße 9,f,heddernheim
7d7053bec0829151665e5976,jasminweg 48,f,frankfurter berg
7d7053bec0829151665e5976,am gabelacker 7,f,eschersheim
7d7053bec0829151665e5976,herderstraße 37,f,nordend-ost
7d7053bec0829151665e5976,theodor-fischer-weg 47,f,praunheim
7d7053bec0829151665e5976,wilhelm-beer-weg 36,f,sachsenhausen-s
7d7053bec0829151665e5976,butzbacher straße 60,f,nordend-ost
7d7053bec0829151665e5976,karl-klee-weg 39,f,praunheim
7d7053bec0829151665e5976,hühnerweg 60,f,sachsenhausen-s
7d7053bec0829151665e5976,börsenplatz 1,f,innenstadt
7d7053bec0829151665e5976,im hilgenfeld 76,t,frankfurter berg
7d7053bec0829151665e5976,myliusstraße 8,f,westend-süd
7d7053bec0829151665e5976,hochstraße 54,f,innenstadt
7d7053bec0829151665e5976,im hain 17,t,kalbach-riedberg
7d7053bec0829151665e5976,speicherstraße 100,f,gutleutviertel
7d7053bec0829151665e5976,deuil-la-barre-straße 53,f,nieder-eschbach
7d7053bec0829151665e5976,im brombeerfeld 62,f,kalbach-riedberg
7d7053bec0829151665e5976,speicherstraße 102,t,gutleutviertel
7d7053bec0829151665e5976,röhrborngasse 73,t,bergen-enkheim
7d7053bec0829151665e5976,teplitz-schönauer-straße 21,f,sachsenhausen-s
7d7053bec0829151665e5976,am hochwehr 56,f,ginnheim
7d7053bec0829151665e5976,pestalozzistraße 25,f,bornheim
7d7053bec0829151665e5976,triebstraße 57,f,bergen-enkheim
7d7053bec0829151665e5976,zentmarkweg 42,f,rödelheim
7d7053bec0829151665e5976,cunostraße 64,f,bergen-enkheim
7d7053bec0829151665e5976,berger marktplatz 9,f,bergen-enkheim
7d7053bec0829151665e5976,gerauer straße 65,f,niederrad
7d7053bec0829151665e5976,mainkurstraße 38,f,bornheim
7d7053bec0829151665e5976,an der wolfsweide 44,t,preungesheim
37c8c8c8d6b25ff7fbd4bd92,justinuskirchstraße 3,t,höchst
37c8c8c8d6b25ff7fbd4bd92,hausener brückweg 4,t,hausen
37c8c8c8d6b25ff7fbd4bd92,zeuläckerstraße 28,t,seckbach
37c8c8c8d6b25ff7fbd4bd92,friedensallee 44,f,sachsenhausen-s
88cb8ed972a5ec688688c73c,an der seehecke 29,t,fechenheim
88cb8ed972a5ec688688c73c,großer hasenpfad 91,t,sachsenhausen-s
